company,date,score
BGF리테일,2025-07-23,0.0050172927
BGF리테일,2025-07-22,-0.00024502276
BGF리테일,2025-07-20,0.0020999908
BGF리테일,2025-07-18,-0.0004117489
BGF리테일,2025-07-16,0.00017082691
BGF리테일,2025-07-15,0.33126643
BGF리테일,2025-07-14,0.013716507
BGF리테일,2025-07-13,0.9999674
BGF리테일,2025-07-11,3.08156e-05
BGF리테일,2025-07-09,-0.00056421757
BGF리테일,2025-07-08,0.83208084
BGF리테일,2025-07-07,0.10451126
BGF리테일,2025-07-06,1.0192394e-05
BGF리테일,2025-07-05,0.25348616
BGF리테일,2025-07-03,0.99920225
BGF리테일,2025-07-02,0.499348
BGF리테일,2025-07-01,0.66303885
BGF리테일,2025-06-30,-5.865097e-05
BGF리테일,2025-06-29,-1.2636185e-05
BGF리테일,2025-06-24,5.877018e-05
BGF리테일,2025-06-23,-0.4993487
BGF리테일,2025-06-20,3.4034252e-05
BGF리테일,2025-06-19,0.48892564
BGF리테일,2025-06-16,0.62478423
BGF리테일,2025-06-15,0.9999722
BGF리테일,2025-06-13,0.33869347
BGF리테일,2025-06-12,-0.30231592
BGF리테일,2025-06-11,2.9802322e-07
BGF리테일,2025-06-09,0.2759814
BGF리테일,2025-06-08,9.536743e-06
BGF리테일,2025-06-07,1.5497208e-06
BGF리테일,2025-06-04,0.26190445
BGF리테일,2025-06-03,0.9969803
BGF리테일,2025-05-30,0.49997473
BGF리테일,2025-05-29,2.026558e-06
BGF리테일,2025-05-27,0.9994136
BGF리테일,2025-05-26,0.8008092
BGF리테일,2025-05-23,-3.9875507e-05
BGF리테일,2025-05-22,0.33337894
BGF리테일,2025-05-21,1.5199184e-06
BGF리테일,2025-05-20,-0.00022794802
BGF리테일,2025-05-19,2.4179617e-05
BGF리테일,2025-05-18,3.6597252e-05
BGF리테일,2025-05-16,5.9604645e-06
BGF리테일,2025-05-15,0.49974743
BGF리테일,2025-05-14,1.2934208e-05
BGF리테일,2025-05-13,0.33344516
BGF리테일,2025-05-12,-0.32373467
BGF리테일,2025-05-11,-0.49818003
BGF리테일,2025-05-09,-0.331225
BGF리테일,2025-05-08,-0.42146295
BGF리테일,2025-05-07,0.33321142
BGF리테일,2025-05-06,0.001115799
BGF리테일,2025-05-03,-0.0028966665
BGF리테일,2025-05-01,0.49986422
BGF리테일,2025-04-29,-6.4373016e-06
BGF리테일,2025-04-28,0.35249272
BGF리테일,2025-04-27,0.99833894
BGF리테일,2025-04-25,2.026558e-06
BGF리테일,2025-04-24,0.4982187
BGF리테일,2025-04-23,0.6360397
BGF리테일,2025-04-22,1.5397867e-05
BGF리테일,2025-04-21,5.2452087e-06
BGF리테일,2025-04-20,0.9999717
BGF리테일,2025-04-16,1.1086464e-05
BGF리테일,2025-04-15,0.99996984
BGF리테일,2025-04-14,0.49998844
BGF리테일,2025-04-13,0.008644104
BGF리테일,2025-04-11,0.0074739456
BGF리테일,2025-04-10,0.4999853
BGF리테일,2025-04-09,0.0005373955
BGF리테일,2025-04-08,2.8431416e-05
BGF리테일,2025-04-07,-0.23462504
BGF리테일,2025-04-06,0.99796575
BGF리테일,2025-04-04,1.0609627e-05
BGF리테일,2025-04-03,3.0795734e-06
BGF리테일,2025-04-02,1.3609727e-05
BGF리테일,2025-04-01,0.24354188
BGF리테일,2025-03-31,-0.49966177
BGF리테일,2025-03-28,5.185604e-06
BGF리테일,2025-03-27,-1.4305115e-06
BGF리테일,2025-03-26,-0.00038164854
BGF리테일,2025-03-25,0.33317137
BGF리테일,2025-03-24,0.01480638
BGF리테일,2025-03-21,0.49461317
BGF리테일,2025-03-20,0.7333946
BGF리테일,2025-03-19,3.1739473e-05
BGF리테일,2025-03-18,5.722046e-06
BGF리테일,2025-03-14,-1.0967255e-05
BGF리테일,2025-03-12,-1.5228987e-05
BGF리테일,2025-03-11,0.24948673
BGF리테일,2025-03-10,0.99997216
BGF리테일,2025-03-07,-0.99775314
BGF리테일,2025-03-06,3.683567e-05
BGF리테일,2025-03-05,0.33511737
BGF리테일,2025-03-04,0.00010842085
BGF리테일,2025-02-28,0.00014901161
BGF리테일,2025-02-26,0.9999669
BGF리테일,2025-02-25,0.43948042
BGF리테일,2025-02-23,0.00014466047
BGF리테일,2025-02-20,2.0802021e-05
BGF리테일,2025-02-17,5.7816505e-06
BGF리테일,2025-02-16,-1.6570091e-05
BGF리테일,2025-02-13,0.49998593
BGF리테일,2025-02-12,0.36353835
BGF리테일,2025-02-11,-0.4975058
BGF리테일,2025-02-10,-0.9552517
BGF리테일,2025-02-09,0.99996185
BGF리테일,2025-02-07,-0.0050644875
BGF리테일,2025-02-06,0.9999612
BGF리테일,2025-02-05,0.661252
BGF리테일,2025-02-04,0.99943805
BGF리테일,2025-01-30,0.3299408
BGF리테일,2025-01-29,-0.0001000762
BGF리테일,2025-01-27,-8.821487e-06
BGF리테일,2025-01-22,0.31090045
BGF리테일,2025-01-21,-8.940697e-07
BGF리테일,2025-01-20,0.00097057223
BGF리테일,2025-01-17,0.01802347
BGF리테일,2025-01-16,0.33368316
BGF리테일,2025-01-15,0.3240869
BGF리테일,2025-01-14,0.9519577
